"token","lemma"
"a","a"
"'s","'s"
"able","able"
"about","about"
"above","above"
"according","accord"
"accordingly","accordingly"
"across","across"
"actually","actually"
"after","after"
"afterwards","afterwards"
"again","again"
"against","against"
"ai","be"
"n't","not"
"all","all"
"allow","allow"
"allows","allow"
"almost","almost"
"alone","alone"
"along","along"
"already","already"
"also","also"
"although","although"
"always","always"
"am","be"
"among","among"
"amongst","amongst"
"an","an"
"and","and"
"another","another"
"any","any"
"anybody","anybody"
"anyhow","anyhow"
"anyone","anyone"
"anything","anything"
"anyway","anyway"
"anyways","anyways"
"anywhere","anywhere"
"apart","apart"
"appear","appear"
"appreciate","appreciate"
"appropriate","appropriate"
"are","be"
"around","around"
"as","as"
"aside","aside"
"ask","ask"
"asking","ask"
"associated","associated"
"at","at"
"available","available"
"away","away"
"awfully","awfully"
"b","b"
"be","be"
"became","become"
"because","because"
"become","become"
"becomes","become"
"becoming","become"
"been","be"
"before","before"
"beforehand","beforehand"
"behind","behind"
"being","be"
"believe","believe"
"below","below"
"beside","beside"
"besides","besides"
"best","good"
"better","well"
"between","between"
"beyond","beyond"
"both","both"
"brief","brief"
"but","but"
"by","by"
"c","c"
"c'm","come"
"on","on"
"'s","be"
"came","come"
"can","can"
"ca","can"
"not","not"
"nt","not"
"cause","cause"
"causes","cause"
"certain","certain"
"certainly","certainly"
"changes","change"
"clearly","clearly"
"co","co"
"com","com"
"come","come"
"comes","come"
"concerning","concern"
"consequently","consequently"
"consider","consider"
"considering","consider"
"contain","contain"
"containing","contain"
"contains","contain"
"corresponding","correspond"
"could","could"
"course","course"
"currently","currently"
"d","d"
"definitely","definitely"
"described","describe"
"despite","despite"
"did","do"
"different","different"
"do","do"
"does","do"
"doing","do"
"done","do"
"down","down"
"downwards","downwards"
"during","during"
"e","e"
"each","each"
"edu","edu"
"eg","eg"
"eight","eight"
"either","either"
"else","else"
"elsewhere","elsewhere"
"enough","enough"
"entirely","entirely"
"especially","especially"
"et","et"
"etc","etc"
"even","even"
"ever","ever"
"every","every"
"everybody","everybody"
"everyone","everyone"
"everything","everything"
"everywhere","everywhere"
"ex","ex"
"exactly","exactly"
"example","example"
"except","except"
"f","f"
"far","far"
"few","few"
"fifth","fifth"
"first","first"
"five","five"
"followed","follow"
"following","follow"
"follows","follow"
"for","for"
"former","former"
"formerly","formerly"
"forth","forth"
"four","four"
"from","from"
"further","further"
"furthermore","furthermore"
"g","g"
"get","get"
"gets","get"
"getting","get"
"given","give"
"gives","give"
"go","go"
"goes","go"
"going","go"
"gone","go"
"got","get"
"gotten","get"
"greetings","greeting"
"h","h"
"had","have"
"happens","happen"
"hardly","hardly"
"has","have"
"have","have"
"having","have"
"he","he"
"hello","hello"
"help","help"
"hence","hence"
"her","her"
"here","here"
"hereafter","hereafter"
"hereby","hereby"
"herein","herein"
"hereupon","hereupon"
"hers","hers"
"herself","herself"
"hi","hi"
"him","him"
"himself","himself"
"his","his"
