"token","lemma"
"ben","ben"
"jerry","jerry"
"jerrys","jerrys"
"benjerrys","benjerrys"
"haagen","haagen"
"dazs","dazs"
"daz","daz"
"haagendazs","haagendazs"
"haagendaz","haagendaz"
"hagen","hagen"
"hagendazs","hagendazs"
"breyers","breyer"
"breyer","breyer"
"talenti","talenti"
"talentis","talentis"
"unilever","unilever"
"mills","mill"
"froneri","froneri"
"ice","ice"
"cream","cream"
"icecream","icecream"
"icecreams","icecreams"
"gelato","gelato"
"brand","brand"
"nestle","nestle"
"nestl","nestl"
"com","com"
"dreyer","dreyer"
"dryers","dryer"
"review","review"
"collected","collect"
"collect","collect"
"part","part"
"promotion","promotion"
