"token","lemma"
"i","i"
"me","me"
"my","my"
"myself","myself"
"we","we"
"our","our"
"ours","ours"
"ourselves","ourselves"
"you","you"
"your","your"
"yours","yours"
"yourself","yourself"
"yourselves","yourself"
"he","he"
"him","him"
"his","his"
"himself","himself"
"she","she"
"her","her"
"hers","hers"
"herself","herself"
"it","it"
"its","its"
"itself","itself"
"they","they"
"them","them"
"their","their"
"theirs","theirs"
"themselves","themselves"
"what","what"
"which","which"
"who","who"
"whom","whom"
"this","this"
"that","that"
"these","these"
"those","those"
"am","be"
"is","be"
"are","be"
"was","be"
"were","be"
"be","be"
"been","be"
"being","be"
"have","have"
"has","have"
"had","have"
"having","have"
"do","do"
"does","do"
"did","do"
"doing","do"
"would","would"
"should","should"
"could","could"
"ought","ought"
"'m","be"
"'re","be"
"'s","be"
"'ve","have"
"'d","have"
"'d","'d"
"'ll","will"
"n't","not"
"wo","will"
"sha","shall"
"ca","can"
"can","can"
"not","not"
"must","must"
"let","let"
"'s","'s"
"here","here"
"there","there"
"when","when"
"where","where"
"why","why"
"how","how"
"a","a"
"an","an"
"the","the"
"and","and"
"but","but"
"if","if"
"or","or"
"because","because"
"as","as"
"until","until"
"while","while"
"of","of"
"at","at"
"by","by"
"for","for"
"with","with"
"about","about"
"against","against"
"between","between"
"into","into"
"through","through"
"during","during"
"before","before"
"after","after"
"above","above"
"below","below"
"to","to"
"from","from"
"up","up"
"down","down"
"in","in"
"out","out"
"on","on"
"off","off"
"over","over"
"under","under"
"again","again"
"further","further"
"then","then"
"once","once"
"all","all"
"any","any"
"both","both"
"each","each"
"few","few"
"more","more"
"most","most"
"other","other"
"some","some"
"such","such"
"no","no"
"nor","nor"
"only","only"
"own","own"
"same","same"
"so","so"
"than","than"
"too","too"
"very","very"
