doc_id,brand,X1,X2,y_dmm_5,y_kmeans_5,y_manual_5,y_dmm_10,y_kmeans_10
1,bj,-5.389359,-1.4315181,1,4,0,8,2
3,bj,-8.127377,28.357294,0,1,3,8,0
5,bj,38.823143,-21.079592,1,0,0,6,7
6,bj,-33.084026,-4.2800035,0,3,0,5,9
7,bj,-19.368626,-24.380775,2,1,3,8,8
8,bj,24.213512,-12.009422,0,0,0,5,2
9,bj,6.7357903,-38.7544,0,0,0,5,7
10,bj,-24.94407,-31.054752,2,3,0,1,8
11,bj,4.1242127,-7.2457476,3,4,0,4,2
12,bj,9.285255,15.073389,2,2,0,8,3
13,bj,-27.609055,21.483057,2,2,4,1,3
14,bj,-16.199156,-8.897152,0,4,0,5,2
15,bj,-3.1047719,40.96448,2,1,3,8,0
19,bj,-14.797704,31.069778,0,1,0,8,0
21,bj,14.494565,-38.078766,1,0,0,5,7
23,bj,3.7084572,16.907362,2,1,3,8,0
24,bj,20.621862,-32.407486,1,0,3,8,6
25,bj,12.170957,34.873936,2,2,3,6,6
26,bj,21.867424,-24.364697,1,0,0,0,7
27,bj,-31.671637,-8.809865,3,3,0,9,9
28,bj,3.2782314,36.000404,2,1,4,1,6
29,bj,-34.532234,19.470633,0,1,0,8,0
30,bj,9.899842,19.535103,0,2,3,8,3
31,bj,45.294353,18.589191,2,2,0,8,3
32,bj,5.953402,2.6037314,2,4,2,5,2
33,bj,-36.17903,-18.350588,0,3,0,7,9
34,bj,1.8702877,-5.3592534,0,4,0,8,2
35,bj,-38.490322,7.276346,1,3,0,0,9
38,bj,35.771004,-20.637625,0,2,0,5,3
39,bj,16.754639,-22.615036,0,0,0,4,7
40,bj,33.40308,-21.690586,0,0,0,8,7
43,bj,18.059017,26.251623,1,2,3,3,3
44,bj,-3.2736893,26.724773,2,1,0,1,6
45,bj,-39.061676,1.4509302,3,3,0,5,9
47,bj,-16.491104,-33.990585,3,3,0,5,9
48,bj,7.6266613,-28.488401,0,0,0,8,7
49,bj,38.0071,-20.008598,1,2,0,7,3
50,bj,-14.630167,-5.916037,4,2,0,4,3
51,bj,-33.444973,-6.3202534,3,3,0,5,9
52,bj,24.397604,-17.276167,1,0,3,8,7
53,bj,27.670525,-27.17946,2,0,4,8,7
54,bj,-28.529282,-0.0059960578,3,2,0,5,3
55,bj,-0.6529403,-13.708761,3,4,0,7,2
56,bj,-6.50303,-38.434143,2,0,0,8,7
57,bj,8.53705,-0.1721281,1,2,4,5,2
58,bj,-28.703093,-5.8997846,3,2,0,5,3
